spectrum_id,spectrum_file,source_type,instrument,pds_product_lid,pds_csv_url,pds_label_url,pds_bundle_doi,sol,start_time_utc,sequence_id,calibration_target_number,calibration_target_name,region,n_point_spectra_averaged,n_channels,laser_wavelength_nm,major_category,mineral_label,label_status,supervised_training_usable,domain_adaptation_usable,recommended_use,provenance_note
SAU008_SS__0059_0672193298_545RRS__0032046SRLC15030WT08CGNJ02_REGION_2_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672193298_545RRS__0032046SRLC15030WT08CGNJ02_REGION_2_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.xml,10.17189/1522643,59,2021-04-20T12:23:49.057Z,srlc15030,3,Mars Meteorite SaU 008,REGION_2,1296,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672193298_545RRS__0032046SRLC15030WT08CGNJ02_REGION_3_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672193298_545RRS__0032046SRLC15030WT08CGNJ02_REGION_3_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193298_545rrs__0032046srlc15030wt08cgnj02.xml,10.17189/1522643,59,2021-04-20T12:23:49.057Z,srlc15030,3,Mars Meteorite SaU 008,REGION_3,1296,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672193904_885RRS__0032046SRLC15030BT08ZPZJ04_REGION_1_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672193904_885RRS__0032046SRLC15030BT08ZPZJ04_REGION_1_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.xml,10.17189/1522643,59,2021-04-20T12:33:17.792Z,srlc15030,3,Mars Meteorite SaU 008,REGION_1,1296,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672193904_885RRS__0032046SRLC15030BT08ZPZJ04_REGION_2_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672193904_885RRS__0032046SRLC15030BT08ZPZJ04_REGION_2_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.xml,10.17189/1522643,59,2021-04-20T12:33:17.792Z,srlc15030,3,Mars Meteorite SaU 008,REGION_2,1296,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672193904_885RRS__0032046SRLC15030BT08ZPZJ04_REGION_3_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672193904_885RRS__0032046SRLC15030BT08ZPZJ04_REGION_3_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672193904_885rrs__0032046srlc15030bt08zpzj04.xml,10.17189/1522643,59,2021-04-20T12:33:17.792Z,srlc15030,3,Mars Meteorite SaU 008,REGION_3,1296,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672194117_090RRS__0032046SRLC15030BT08ZPZJ04_REGION_1_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672194117_090RRS__0032046SRLC15030BT08ZPZJ04_REGION_1_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.xml,10.17189/1522643,59,2021-04-20T12:36:29.793Z,srlc15030,3,Mars Meteorite SaU 008,REGION_1,2,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672194117_090RRS__0032046SRLC15030BT08ZPZJ04_REGION_2_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672194117_090RRS__0032046SRLC15030BT08ZPZJ04_REGION_2_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.xml,10.17189/1522643,59,2021-04-20T12:36:29.793Z,srlc15030,3,Mars Meteorite SaU 008,REGION_2,2,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0059_0672194117_090RRS__0032046SRLC15030BT08ZPZJ04_REGION_3_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0059_0672194117_090RRS__0032046SRLC15030BT08ZPZJ04_REGION_3_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00059/ss__0059_0672194117_090rrs__0032046srlc15030bt08zpzj04.xml,10.17189/1522643,59,2021-04-20T12:36:29.793Z,srlc15030,3,Mars Meteorite SaU 008,REGION_3,2,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0181_0683036054_955RRS__0070000SRLC15031W108CGNJ03_REGION_1_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0181_0683036054_955RRS__0070000SRLC15031W108CGNJ03_REGION_1_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.xml,10.17189/1522643,181,2021-08-24T00:17:50.870Z,srlc15031,3,Mars Meteorite SaU 008,REGION_1,100,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0181_0683036054_955RRS__0070000SRLC15031W108CGNJ03_REGION_2_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0181_0683036054_955RRS__0070000SRLC15031W108CGNJ03_REGION_2_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.xml,10.17189/1522643,181,2021-08-24T00:17:50.870Z,srlc15031,3,Mars Meteorite SaU 008,REGION_2,100,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0181_0683036054_955RRS__0070000SRLC15031W108CGNJ03_REGION_3_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0181_0683036054_955RRS__0070000SRLC15031W108CGNJ03_REGION_3_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036054_955rrs__0070000srlc15031w108cgnj03.xml,10.17189/1522643,181,2021-08-24T00:17:50.870Z,srlc15031,3,Mars Meteorite SaU 008,REGION_3,100,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0181_0683036862_175RRS__0070000SRLC15031B108ZPZJ03_REGION_1_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0181_0683036862_175RRS__0070000SRLC15031B108ZPZJ03_REGION_1_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.xml,10.17189/1522643,181,2021-08-24T00:30:58.611Z,srlc15031,3,Mars Meteorite SaU 008,REGION_1,1,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
SAU008_SS__0181_0683036862_175RRS__0070000SRLC15031B108ZPZJ03_REGION_2_MEAN,data/sherloc_sau008_calibration/mean_spectra/SAU008_SS__0181_0683036862_175RRS__0070000SRLC15031B108ZPZJ03_REGION_2_MEAN.csv,SHERLOC calibration target Mars meteorite SaU 008,"SHERLOC, Perseverance rover",urn:nasa:pds:mars2020_sherloc:data_processed:ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00181/ss__0181_0683036862_175rrs__0070000srlc15031b108zpzj03.xml,10.17189/1522643,181,2021-08-24T00:30:58.611Z,srlc15031,3,Mars Meteorite SaU 008,REGION_2,1,2148,248.6,,,bulk_target_only_no_point_level_mineral_label,False,True,"SHERLOC-domain adaptation, calibration-domain checking, or manual mineral-label review",External calibration products use SRLC15*; SHERLOC calibration target material number 3 is Mars Meteorite SaU 008 in the PDS user guide and RDR SIS.
