,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.75,0.75,0.75,4.0
Olivine,1.0,0.8,0.8888888888888888,5.0
Other Silicates,0.6666666666666666,0.7058823529411765,0.6857142857142857,17.0
Oxides/Hydroxides,0.6666666666666666,0.5,0.5714285714285714,8.0
Phosphate,1.0,0.6428571428571429,0.782608695652174,14.0
Phyllosilicates,0.6470588235294118,0.6470588235294118,0.6470588235294118,17.0
Plagioclase,0.5833333333333334,1.0,0.7368421052631579,7.0
Pyroxene,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
Silica Phase,0.6666666666666666,1.0,0.8,2.0
Sulfate,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
accuracy,0.7819548872180451,0.7819548872180451,0.7819548872180451,0.7819548872180451
macro avg,0.6607818976913067,0.6743827895530683,0.6554056578986288,133.0
weighted avg,0.7964075790499264,0.7819548872180451,0.77965584310369,133.0
